timestamp,event,pupil_left,pupil_right,validity_left,validity_right
260483.902,fixation,3.148734,2.917195,0,0
260500.654,fixation,3.136528,2.889125,0,0
260517.28,fixation,3.129998,2.933002,0,0
260533.906,fixation,3.072025,2.906606,0,0
260550.533,fixation,3.108228,2.925761,0,0
260567.16,fixation,3.106864,2.965954,0,0
260583.912,fixation,3.09171,2.895956,0,0
260600.538,fixation,3.06369,2.921468,0,0
260617.165,fixation,3.057135,2.868659,0,0
260633.791,fixation,3.081449,2.931668,0,0
260650.541,fixation,3.133088,2.924146,0,0
260667.167,fixation,3.131663,2.959111,0,0
260683.797,fixation,3.076978,2.924759,0,0
260700.419,fixation,3.081064,2.904938,0,0
260717.046,fixation,3.07842,2.927718,0,0
260733.797,fixation,3.105094,2.895466,0,0
260750.424,fixation,3.125501,2.913314,0,0
260767.05,fixation,3.102,2.895223,0,0
260783.677,fixation,3.095053,2.928685,0,0
260800.428,fixation,3.122643,2.936258,0,0
260817.055,fixation,3.088713,2.942029,0,0
260833.679,fixation,3.133699,2.929321,0,0
260850.306,fixation,3.15635,2.952949,0,0
260867.057,fixation,3.173334,2.965856,0,0
260883.684,fixation,3.124878,2.976397,0,0
260900.31,fixation,3.139187,2.945642,0,0
260916.936,fixation,3.132888,2.974671,0,0
260933.564,fixation,3.158605,2.96047,0,0
260950.315,fixation,3.161728,2.969067,0,0
260966.95,fixation,3.1412,2.952633,0,0
260983.568,fixation,3.141313,2.915917,0,0
261000.195,fixation,3.159038,2.939504,0,0
261016.944,fixation,3.150984,2.931134,0,0
261033.571,fixation,3.132416,2.970252,0,0
261050.197,fixation,3.193175,2.944033,0,0
261066.823,fixation,3.166296,2.959706,0,0
261083.449,fixation,3.178129,2.953464,0,0
261100.201,fixation,3.169317,3.005246,0,0
261116.828,fixation,3.174919,3.016016,0,0
261133.455,fixation,3.162936,2.980372,0,0
261150.081,fixation,3.159989,2.956814,0,0
261166.833,fixation,3.198266,3.003895,0,0
261183.459,fixation,3.150895,2.988247,0,0
261200.087,fixation,3.199661,3.013391,0,0
261216.71,fixation,3.169888,2.9836,0,0
261233.337,fixation,3.196425,2.979572,0,0
261250.088,fixation,3.19372,2.98275,0,0
261266.714,fixation,3.2096,2.993112,0,0
261283.341,fixation,3.168828,2.965841,0,0
261299.968,fixation,3.176691,2.944905,0,0
261316.719,fixation,3.161829,2.953326,0,0
261333.345,fixation,3.165705,2.995351,0,0
261349.972,fixation,3.164978,2.973493,0,0
261366.599,fixation,3.16131,2.965773,0,0
261383.222,fixation,3.172072,2.945325,0,0
261399.973,fixation,3.165092,2.957191,0,0
261416.601,fixation,3.195303,3.005691,0,0
261433.227,fixation,3.169721,2.982108,0,0
261449.854,fixation,3.152755,2.970571,0,0
261466.606,fixation,3.154597,2.955137,0,0
261483.232,feedback,3.136977,2.972126,0,0
261499.858,feedback,3.152067,2.961041,0,0
261516.485,feedback,3.151216,2.932248,0,0
261533.119,feedback,3.140602,2.93939,0,0
261549.863,feedback,3.160529,2.921697,0,0
261566.487,feedback,3.142999,2.956688,0,0
261583.114,feedback,3.148101,2.973883,0,0
261599.74,feedback,3.179104,2.96267,0,0
261616.492,feedback,3.199821,2.936843,0,0
261633.122,feedback,3.162288,2.938058,0,0
261649.745,feedback,3.16947,2.981258,0,0
261666.371,feedback,3.170257,2.941322,0,0
261683.122,feedback,3.181843,2.974448,0,0
261699.75,feedback,3.176833,2.939105,0,0
261716.375,feedback,3.179626,2.949826,0,0
261733.004,feedback,3.2018,2.973364,0,0
261749.626,feedback,3.154413,2.934113,0,0
261766.378,feedback,3.15904,2.92572,0,0
261783.004,feedback,3.154637,2.954445,0,0
261799.631,feedback,3.170579,2.90719,0,0
261816.257,feedback,3.148336,2.957281,0,0
261833.009,feedback,3.147389,2.93288,0,0
261849.635,feedback,3.157427,2.969598,0,0
261866.262,feedback,3.140736,2.935897,0,0
261882.888,feedback,3.165675,2.936239,0,0
261899.515,feedback,3.154921,3.004897,0,0
261916.266,feedback,3.146314,2.927915,0,0
261932.891,feedback,3.142574,2.965838,0,0
261949.517,feedback,3.136867,2.967587,0,0
261966.145,feedback,3.141455,2.955196,0,0
261982.895,feedback,3.154595,2.968997,0,0
261999.522,feedback,3.152433,2.974538,0,0
262016.149,feedback,3.192014,3.003963,0,0
262032.775,feedback,3.172151,2.99743,0,0
262049.402,feedback,3.174631,2.976715,0,0
262066.153,feedback,3.191325,2.989525,0,0
262082.779,feedback,3.156667,2.99802,0,0
262099.406,feedback,3.100538,2.968191,0,0
262116.03,feedback,3.169381,3.037267,0,0
262132.782,feedback,3.150389,3.01226,0,0
262149.408,feedback,3.146721,3.032227,0,0
262166.034,feedback,3.124172,2.955622,0,0
262182.661,feedback,-1,3.198966,4,0
262199.287,feedback,-1,3.583385,4,0
262216.039,feedback,-1,3.462263,4,0
262232.665,feedback,-1,3.437379,4,0
262249.293,feedback,-1,3.409957,4,0
262265.919,feedback,-1,3.438881,4,0
262282.671,feedback,-1,3.410177,4,0
262299.295,feedback,-1,3.317408,4,0
262315.922,feedback,-1,2.961733,4,0
262332.548,feedback,-1,2.996246,4,0
262349.3,feedback,3.261701,2.983896,0,0
262365.926,feedback,3.165865,3.080665,0,0
262382.553,feedback,3.209429,2.958218,0,0
262399.178,feedback,3.181555,2.984399,0,0
262415.805,feedback,3.143429,2.967929,0,0
262432.557,feedback,3.179627,2.957045,0,0
262449.184,feedback,3.15626,2.93901,0,0
262465.809,feedback,3.185566,2.928002,0,0
262482.435,feedback,3.227961,2.98089,0,0
262499.187,feedback,3.255299,3.029781,0,0
262515.812,feedback,3.225236,2.991955,0,0
262532.438,feedback,3.281753,3.025542,0,0
262549.075,feedback,3.273444,3.014637,0,0
262565.691,feedback,3.273457,3.045184,0,0
262582.443,feedback,3.233128,3.020967,0,0
262599.07,feedback,3.25027,3.055926,0,0
262615.696,feedback,3.281446,3.095869,0,0
262632.322,feedback,3.325866,3.114081,0,0
262649.083,feedback,3.313067,3.131689,0,0
262665.699,feedback,3.365788,3.138779,0,0
262682.325,feedback,3.355354,3.194871,0,0
262698.952,feedback,3.368892,3.147415,0,0
262715.578,feedback,3.319807,3.180873,0,0
262732.33,feedback,3.302368,3.125875,0,0
262748.955,feedback,3.328931,3.119603,0,0
262765.582,feedback,3.319799,3.154339,0,0
262782.208,feedback,3.276215,3.126009,0,0
262798.96,feedback,3.271807,3.100245,0,0
262815.587,feedback,3.236651,3.092357,0,0
262832.214,feedback,3.191778,3.065857,0,0
262848.837,feedback,3.224564,3.09375,0,0
262865.464,feedback,3.221069,3.072699,0,0
262882.216,feedback,3.225224,3.058204,0,0
262898.842,feedback,3.183683,3.011628,0,0
262915.469,feedback,3.170564,3.035641,0,0
262932.095,feedback,3.156295,2.990894,0,0
